[2014-04-22 01:30:51] EDIT Exemplo/models/db.py: 0
[2014-04-22 01:34:13] EDIT Exemplo/models/db.py: -1
[2014-04-22 01:40:11] EDIT Exemplo/models/db.py: -3
[2014-04-22 01:40:26] EDIT Exemplo/models/db.py: -3
[2014-04-22 01:41:53] EDIT Exemplo/models/db.py: 0
[2014-04-22 01:43:29] EDIT Exemplo/models/db.py: -3
[2014-04-22 01:47:27] EDIT Exemplo/models/db.py: 0
[2014-04-22 01:52:35] CREATE Usuario.py: 0
[2014-04-22 01:53:36] EDIT Exemplo/controllers/Usuario.py: 2
[2014-04-22 01:53:55] CREATE Usuario/index.html: 0
[2014-04-22 01:58:44] EDIT Exemplo/views/Usuario/index.html: 4
[2014-04-22 01:59:38] EDIT Exemplo/models/db.py: 0
[2014-04-22 02:01:24] EDIT Exemplo/models/db.py: 1
[2014-04-22 02:04:26] EDIT Exemplo/models/db.py: -6
[2014-04-22 02:09:09] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:01:45] EDIT Exemplo/views/images/index.html: -2
[2014-04-22 19:02:11] EDIT Exemplo/views/images/index.html: 0
[2014-04-22 19:06:16] EDIT Exemplo/models/db.py: -1
[2014-04-22 19:09:04] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:09:27] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:10:41] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:11:59] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:15:48] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:19:35] EDIT Exemplo/models/db.py: 1
[2014-04-22 19:20:12] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:20:23] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:25:58] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:26:16] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:27:52] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:34:53] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:36:03] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:51:24] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:51:45] EDIT Exemplo/models/db.py: 0
[2014-04-22 19:53:29] EDIT Exemplo/models/images.py: -7
[2014-04-22 20:11:45] EDIT Exemplo/models/images.py: 0
[2014-04-22 20:20:11] EDIT Exemplo/models/images.py: 0
[2014-04-22 20:20:32] EDIT Exemplo/models/images.py: 0
[2014-05-14 19:19:32] EDIT Exemplo/models/db.py: 0
