[2014-05-15 01:42:51] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:43:10] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:46:06] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:46:15] EDIT Genios/views/responsavel/alterar.html: -1
[2014-05-15 01:46:31] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:46:42] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 01:46:58] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:53:06] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:53:33] EDIT Genios/views/responsavel/alterar.html: -5
[2014-05-15 01:54:46] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:54:54] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:55:42] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:56:27] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:56:56] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:57:50] EDIT Genios/views/responsavel/alterar.html: -7
[2014-05-15 02:00:25] EDIT Genios/controllers/responsavel.py: 2
[2014-05-15 02:01:19] EDIT Genios/controllers/responsavel.py: -1
[2014-05-15 02:03:18] EDIT Genios/models/db.py: 0
[2014-05-15 02:03:31] EDIT Genios/models/db.py: 0
[2014-05-15 02:03:48] EDIT Genios/models/db.py: 0
[2014-05-15 02:03:57] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 02:06:39] EDIT Genios/views/responsavel/alterar.html: 3
[2014-05-15 02:08:01] EDIT Genios/controllers/responsavel.py: 1
[2014-05-15 02:10:28] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 02:10:50] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 02:11:17] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 02:12:42] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 02:13:01] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:14:22] EDIT Genios/controllers/responsavel.py: 1
[2014-05-15 02:15:36] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:15:42] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:15:56] EDIT Genios/views/responsavel/alterar.html: -2
[2014-05-15 02:15:58] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:17:29] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:17:48] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:21:57] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:22:28] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:23:02] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:23:11] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:24:26] EDIT Genios/models/db.py: 0
[2014-05-15 02:29:22] EDIT Genios/models/db.py: 0
[2014-05-15 02:29:39] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:30:24] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:34:56] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:35:35] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:35:41] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:37:24] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:38:01] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 02:39:01] EDIT Genios/views/responsavel/alterar.html: -1
[2014-05-15 02:40:53] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:41:36] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:43:51] EDIT Genios/views/responsavel/alterar.html: 2
[2014-05-15 02:44:39] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:44:57] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:45:37] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:46:53] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:47:20] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:48:24] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 02:49:15] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:50:41] EDIT Genios/views/responsavel/alterar.html: -1
[2014-05-15 02:53:06] EDIT Genios/models/db.py: 0
[2014-05-15 02:53:24] EDIT Genios/models/db.py: 4
[2014-05-15 02:55:17] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:57:37] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 02:57:49] CREATE responsavel: 0
[2014-05-15 02:57:58] CREATE responsavel.css: 0
[2014-05-15 02:58:48] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 02:59:13] EDIT Genios/static/responsavel.css: 4
[2014-05-15 02:59:50] EDIT Genios/views/responsavel/alterar.html: 2
[2014-05-15 03:00:17] EDIT Genios/static/responsavel.css: 2
[2014-05-15 03:00:30] EDIT Genios/static/responsavel.css: 1
[2014-05-15 03:01:07] EDIT Genios/views/responsavel/alterar.html: 2
[2014-05-15 03:02:04] CREATE css/responsavel.css: 0
[2014-05-15 03:02:06] EDIT Genios/static/css/responsavel.css: 7
[2014-05-15 03:04:14] EDIT Genios/static/css/responsavel.css: 4
[2014-05-15 03:04:46] EDIT Genios/static/css/responsavel.css: 3
[2014-05-15 03:05:05] EDIT Genios/static/css/responsavel.css: 1
[2014-05-15 03:05:07] EDIT Genios/static/css/responsavel.css: 0
[2014-05-15 03:05:37] EDIT Genios/static/css/responsavel.css: 0
[2014-05-15 03:05:56] EDIT Genios/static/css/responsavel.css: 0
[2014-05-15 03:07:13] EDIT Genios/static/css/responsavel.css: 1
[2014-05-15 03:07:36] EDIT Genios/static/css/responsavel.css: 1
[2014-05-15 03:52:11] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 03:53:04] EDIT Genios/controllers/responsavel.py: 2
[2014-05-15 03:53:30] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 03:54:09] EDIT Genios/views/responsavel/alterar.html: 3
[2014-05-15 03:54:29] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 03:55:04] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 03:56:57] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 03:57:17] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 03:57:47] EDIT Genios/views/responsavel/alterar.html: 3
[2014-05-15 03:58:28] EDIT Genios/views/responsavel/alterar.html: 3
[2014-05-15 03:59:51] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 19:49:32] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:00:38] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:05:02] EDIT Genios/controllers/responsavel.py: 1
[2014-05-15 20:32:14] EDIT Genios/controllers/responsavel.py: 1
[2014-05-15 20:38:03] EDIT Genios/controllers/responsavel.py: 3
[2014-05-15 20:39:18] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:55:24] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:56:01] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:56:02] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:56:27] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:57:11] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:57:29] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:57:34] EDIT Genios/controllers/responsavel.py: -1
[2014-05-15 20:58:01] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:58:17] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 20:59:10] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 21:22:05] EDIT Genios/controllers/responsavel.py: 2
[2014-05-15 21:35:16] EDIT Genios/controllers/responsavel.py: 1
[2014-05-15 21:36:31] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 21:37:49] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 21:46:33] EDIT Genios/controllers/responsavel.py: 1
[2014-05-16 00:08:32] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 00:25:17] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 00:27:59] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 00:28:39] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 00:35:54] EDIT Genios/controllers/responsavel.py: -1
[2014-05-16 00:39:36] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 00:40:26] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 00:40:40] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 00:45:34] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 00:59:58] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 01:29:58] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 01:30:34] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 01:32:02] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 01:32:53] EDIT Genios/controllers/responsavel.py: 1
[2014-05-16 01:42:06] EDIT Genios/controllers/responsavel.py: -1
[2014-05-16 01:43:25] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 01:43:59] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 01:49:35] EDIT Genios/static/css/responsavel.css: 2
[2014-05-16 01:50:39] EDIT Genios/views/responsavel/alterar.html: 2
[2014-05-16 01:51:54] EDIT Genios/static/css/responsavel.css: 3
[2014-05-16 01:53:19] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 01:53:49] EDIT Genios/static/css/responsavel.css: 3
[2014-05-16 01:54:49] EDIT Genios/static/css/responsavel.css: 3
[2014-05-16 01:54:57] EDIT Genios/static/css/responsavel.css: 0
[2014-05-16 01:55:50] EDIT Genios/views/responsavel/alterar.html: -1
[2014-05-16 01:59:45] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-16 02:02:49] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-16 02:02:51] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:05:21] EDIT Genios/static/css/responsavel.css: 4
[2014-05-16 02:27:36] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 02:28:01] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 02:28:32] CREATE responsavel/incluifilho.html: 0
[2014-05-16 02:28:38] EDIT Genios/views/responsavel/incluifilho.html: -2
[2014-05-16 02:28:50] EDIT Genios/views/responsavel/incluifilho.html: 3
[2014-05-16 02:29:33] EDIT Genios/views/responsavel/alterar.html: -2
[2014-05-16 02:29:40] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:30:30] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:30:56] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:31:08] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:31:15] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:31:20] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:31:23] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:31:57] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:32:54] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:33:33] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:34:09] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:34:24] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:35:45] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-16 02:36:05] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-16 02:36:38] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:37:54] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:38:48] EDIT Genios/views/responsavel/alterar.html: 2
[2014-05-16 02:39:14] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-16 02:46:49] EDIT Genios/views/responsavel/incluifilho.html: 3
[2014-05-16 02:46:55] EDIT Genios/views/responsavel/incluifilho.html: 0
[2014-05-16 02:47:22] EDIT Genios/views/responsavel/incluifilho.html: 0
[2014-05-16 02:47:51] EDIT Genios/views/responsavel/incluifilho.html: 0
[2014-05-16 02:50:29] EDIT Genios/views/responsavel/incluifilho.html: 0
[2014-05-16 02:50:47] EDIT Genios/views/responsavel/incluifilho.html: 0
[2014-05-16 02:50:57] EDIT Genios/views/responsavel/incluifilho.html: 0
[2014-05-16 02:51:25] EDIT Genios/controllers/responsavel.py: 1
[2014-05-16 02:52:18] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 02:52:51] EDIT Genios/views/responsavel/incluifilho.html: 3
[2014-05-16 02:53:53] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 02:54:19] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 02:54:38] EDIT Genios/views/responsavel/incluifilho.html: -1
[2014-05-16 03:02:47] EDIT Genios/controllers/responsavel.py: 3
[2014-05-16 03:05:14] EDIT Genios/controllers/responsavel.py: 4
[2014-05-16 03:07:00] EDIT Genios/controllers/responsavel.py: 4
[2014-05-16 03:08:38] EDIT Genios/controllers/responsavel.py: 2
[2014-05-16 03:09:17] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:09:38] EDIT Genios/controllers/responsavel.py: 1
[2014-05-16 03:10:31] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:10:42] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:10:56] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:10:56] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:11:20] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:11:55] EDIT Genios/controllers/responsavel.py: 1
[2014-05-16 03:12:01] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:13:21] EDIT Genios/controllers/responsavel.py: 1
[2014-05-16 03:13:46] EDIT Genios/controllers/responsavel.py: 0
[2014-05-16 03:13:52] EDIT Genios/controllers/responsavel.py: 0
[2014-05-24 21:43:25] EDIT Genios/models/db.py: 0
[2014-05-25 14:00:13] EDIT Genios/models/db.py: 0
[2014-05-25 14:10:58] EDIT Genios/controllers/responsavel.py: 3
[2014-05-25 14:21:03] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 14:21:55] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 14:29:03] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 14:29:21] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 14:30:35] EDIT Genios/models/db.py: -1
[2014-05-25 14:33:00] EDIT Genios/models/db.py: 1
[2014-05-25 14:58:07] EDIT Genios/models/db.py: 9
[2014-05-25 15:05:12] EDIT Genios/models/db.py: 0
[2014-05-25 15:05:53] EDIT Genios/models/db.py: 0
[2014-05-25 15:06:03] EDIT Genios/models/db.py: 0
[2014-05-25 15:06:21] EDIT Genios/models/db.py: 0
[2014-05-25 15:06:48] EDIT Genios/models/db.py: 0
[2014-05-25 15:07:38] EDIT Genios/models/db.py: 0
[2014-05-25 15:12:03] EDIT Genios/models/db.py: 0
[2014-05-25 15:12:51] EDIT Genios/models/db.py: -9
[2014-05-25 16:27:47] EDIT Genios/models/db.py: 10
[2014-05-25 16:29:17] EDIT Genios/models/db.py: 0
[2014-05-25 16:33:59] EDIT Genios/models/db.py: 5
[2014-05-25 16:35:03] EDIT Genios/models/db.py: 0
[2014-05-25 16:35:28] EDIT Genios/models/db.py: 0
[2014-05-25 16:36:11] EDIT Genios/models/db.py: 2
[2014-05-25 16:38:03] EDIT Genios/models/db.py: 0
[2014-05-25 16:44:08] EDIT Genios/controllers/responsavel.py: 1
[2014-05-25 16:44:25] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:44:58] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:45:07] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:45:39] EDIT Genios/controllers/responsavel.py: 1
[2014-05-25 16:47:12] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:48:48] EDIT Genios/models/db.py: 0
[2014-05-25 16:49:50] EDIT Genios/controllers/responsavel.py: -2
[2014-05-25 16:49:56] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:51:08] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:55:05] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:55:41] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 16:57:14] EDIT Genios/controllers/default.py: 2
[2014-05-25 16:59:03] EDIT Genios/controllers/default.py: 0
[2014-05-25 17:00:36] EDIT Genios/controllers/default.py: 0
[2014-05-25 17:01:33] EDIT Genios/controllers/default.py: 0
[2014-05-25 17:02:37] EDIT Genios/controllers/default.py: 1
[2014-05-25 17:03:21] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-25 17:05:05] EDIT Genios/controllers/default.py: 3
[2014-05-25 17:10:35] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 17:10:37] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 17:11:32] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 17:12:55] EDIT Genios/views/responsavel/incluifilho.html: 3
[2014-05-25 17:13:26] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 17:13:48] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 17:14:25] EDIT Genios/controllers/responsavel.py: 0
[2014-05-25 19:40:52] EDIT Genios/controllers/responsavel.py: 6
[2014-05-25 19:44:16] EDIT Genios/controllers/responsavel.py: -4
[2014-05-25 19:46:51] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-25 19:47:15] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-25 19:47:17] EDIT Genios/views/responsavel/alterar.html: 0
